nickname,season,matches_played,wins,losses,winrate,avg_finish_ms,best_finish_ms,consistency_score,forfeit_rate,elo_at_season_end
lowk3y_,5,109,71,38,0.6513761467889908,602240.3802816902,170369.0,0.7915212315167606,0.09174311926605505,2387.0
Oxidiot,5,75,43,32,0.5733333333333334,554120.7674418605,17186.0,0.6410323623897306,0.17333333333333334,2200.0
silverrruns,5,89,60,29,0.6741573033707865,563377.0,30984.0,0.670794418678631,0.25842696629213485,2260.0
TUDORULE,5,109,56,53,0.5137614678899083,635212.875,228691.0,0.7665009414402535,0.14678899082568808,2274.0
v_strid,5,264,136,128,0.5151515151515151,616247.9485294118,106004.0,0.7365009362779058,0.12121212121212122,2364.0
Aquacorde,5,73,44,29,0.6027397260273972,664791.8409090909,238867.0,0.7680268911324644,0.1780821917808219,2252.0
dandannyboy,5,113,63,50,0.5575221238938053,628104.9523809524,3896.0,0.6538695717899016,0.26548672566371684,1932.0
KenanKardes,5,98,49,49,0.5,648189.7551020408,194687.0,0.7408699335422584,0.16326530612244897,2110.0
pulsar32,5,113,43,70,0.3805309734513274,563918.8837209302,64765.0,0.6291229365752092,0.5752212389380531,
7rowl,6,136,78,58,0.5735294117647058,585958.5769230769,191593.0,0.78924035878029,0.20588235294117646,2273.0
Ayreliaa,6,62,25,37,0.4032258064516129,664139.92,384498.0,0.8070852875826652,0.4838709677419355,
BeefSalad,6,110,53,57,0.4818181818181818,597931.962264151,491799.0,0.8855456290170072,0.4636363636363636,2097.0
bing_pigs,6,133,67,66,0.5037593984962406,586724.6119402985,153164.0,0.7416152670773272,0.15037593984962405,2409.0
doogile,6,135,87,48,0.6444444444444445,565685.9655172414,127715.0,0.7715414601979205,0.1925925925925926,2385.0
AutomattPLUS,6,75,51,24,0.68,659185.9019607843,501762.0,0.7846794113151939,0.16,2066.0
Feinberg,6,89,49,40,0.550561797752809,591395.3265306122,120248.0,0.7461773464612342,0.11235955056179775,2462.0
hackingnoises,6,91,63,28,0.6923076923076923,532864.2857142857,144968.0,0.715827072647557,0.16483516483516483,2480.0
lowk3y_,6,102,66,36,0.6470588235294118,539894.9393939395,19890.0,0.7208774351062335,0.22549019607843138,2387.0
MrBudgiee,6,83,55,28,0.6626506024096386,674629.8909090909,125369.0,0.6200321262342914,0.3373493975903614,2086.0
Oxidiot,6,107,62,45,0.5794392523364486,557255.8064516129,135389.0,0.7194861286565343,0.1308411214953271,2200.0
silverrruns,6,74,35,39,0.47297297297297297,578255.3428571429,290029.0,0.7681101880803421,0.14864864864864866,2260.0
dandannyboy,6,115,51,64,0.4434782608695652,581768.6862745098,4623.0,0.7079623304586213,0.3217391304347826,1932.0
Erikfzf,6,99,48,51,0.48484848484848486,620309.2291666666,160434.0,0.7188633196762162,0.1717171717171717,2256.0
TUDORULE,6,114,62,52,0.543859649122807,596944.7258064516,161446.0,0.8008840748965811,0.11403508771929824,2274.0
7rowl,7,99,61,38,0.6161616161616161,565620.7213114754,80280.0,0.7486180301642802,0.16161616161616163,2273.0
Ancoboyy,7,99,54,45,0.5454545454545454,562272.1666666666,128332.0,0.7787184222509018,0.31313131313131315,2179.0
Aquacorde,7,85,57,28,0.6705882352941176,563439.649122807,113648.0,0.8297173432365913,0.09411764705882353,2252.0
