nickname,seasons_played,avg_winrate,avg_finish_ms,best_finish_ms,avg_consistency,avg_elo,avg_matches,cluster,pc1,pc2
TUDORULE,3,0.49920703900423846,594181.4548142718,161446.0,0.784748202671925,2274.0,116.0,0,1.075749036945094,0.9622960105002643
autoqualler,1,0.47474747474747475,655612.2553191489,108984.0,0.6353322821134728,1768.0,99.0,4,-1.890211613153279,0.9467444348834585
bing_pigs,7,0.5554922493948994,591375.7781088365,3459.0,0.7255051630538467,2409.0,123.14285714285714,1,1.9464202791318712,1.197226909460622
dandannyboy,6,0.47290082932248517,633409.3848836414,3896.0,0.6595712046678831,1932.0,100.83333333333333,1,-0.3895267170949007,1.3665297160698728
doogile,9,0.6373660425540781,571198.1192074763,0.0,0.7124958189814079,2385.0,100.0,1,2.26425116231081,0.17774114986351822
drx6,1,0.5529411764705883,712361.4042553192,63767.0,0.6419155818473822,1831.0,85.0,4,-2.132863468528964,0.03666394741515072
dwoh,1,0.37349397590361444,688469.8709677419,146068.0,0.725847964072617,1819.0,83.0,4,-1.9063559142484137,1.0735612290237664
edcr,2,0.5467914438502673,536286.9309941521,134944.0,0.7664941916066096,2600.0,100.0,0,2.107826516264384,-0.05010942049919614
hackingnoises,7,0.6241034863877593,570625.8560810434,8955.0,0.7212557813978171,2480.0,87.85714285714286,1,2.1286146106612747,-0.30529710303478985
kW1st,1,0.48598130841121495,695231.5961538461,169578.0,0.6102067885957054,1747.0,107.0,4,-2.30198188814014,1.1809533784159354
loodlow,1,0.5192307692307693,610987.0,3884.0,0.5333020361675845,2177.0,52.0,3,-1.2195113666873107,-0.6922786496083223
lowk3y_,9,0.6756329611334172,607855.97188337,19890.0,0.7692140580573021,2387.0,96.44444444444444,1,2.268133604741437,-0.24459670884949478
nahhann,1,0.6507936507936508,524789.756097561,218156.0,0.8174856358478535,2402.0,63.0,0,1.6663238634139224,-1.9328788067206792
nhb_,1,0.49038461538461536,558091.5490196078,342783.0,0.8498940194481106,2278.0,104.0,0,1.2611130228849838,0.3537758619797901
orachi_,1,0.7636363636363637,659264.9761904762,106056.0,0.6986200746037687,2004.0,55.0,2,-0.8646581886766627,-2.4763248638480455
paplerr,2,0.5259103641456583,658821.4209183673,26794.0,0.6717002382174591,2072.0,100.0,4,-0.7177051223546788,0.5541713711332054
priffie,5,0.5929668748786994,663453.732225987,6127.0,0.5053158496349051,,94.6,3,-0.6736909162079396,0.4583088739568829
pulsar32,2,0.44888617638083617,596369.830749354,31847.0,0.5652397432377654,,100.0,3,-0.5238581202338171,1.1624711667190624
r7sD4fH6jK0wY5uB,1,0.5151515151515151,552975.1960784313,12380.0,0.6733224144406793,2008.0,99.0,0,-0.19438657668019743,0.4167296784358138
retropog,1,0.5797101449275363,545105.9,88148.0,0.6984224190016737,1977.0,69.0,0,-0.21258629135005738,-0.9105763163464428
silverrruns,8,0.5694264998029006,612091.6482521667,30984.0,0.6262180290334394,2260.0,96.5,1,0.9181788806848724,0.6845809723546845
steez,1,0.5517241379310345,571773.1041666666,210112.0,0.7993644301243965,2432.0,87.0,0,1.2912604888568797,-0.5035915093814713
v_strid,4,0.4581610882382249,635555.7228043082,13974.0,0.7280493806232922,2364.0,181.25,1,1.290613808993956,3.2718284014104557
