match_id,season,date,nickname,uuid,opponent,elo_before,elo_change,won,finish_time_ms,forfeited,is_playoff_player,seed_type,bastion_type
2712247,8,1754826151,bing_pigs,92b63a39b36a445fa94c77ae212dcea3,7rowl,2409.0,-20.0,False,,False,True,DESERT_TEMPLE,HOUSING
2712247,8,1754826151,7rowl,70eb9286e3e24153a8b37c8f884f1292,bing_pigs,2273.0,20.0,True,529812.0,False,True,DESERT_TEMPLE,HOUSING
2712188,8,1754825576,7rowl,70eb9286e3e24153a8b37c8f884f1292,Ancoboyy,2273.0,-20.0,False,,False,True,RUINED_PORTAL,TREASURE
2712188,8,1754825576,Ancoboyy,bc80af38933f4ae19b0494681a54422b,7rowl,2179.0,20.0,True,532584.0,False,False,RUINED_PORTAL,TREASURE
2690750,8,1754573051,7rowl,70eb9286e3e24153a8b37c8f884f1292,DARVY__X1,2273.0,17.0,True,578579.0,False,True,RUINED_PORTAL,BRIDGE
2690750,8,1754573051,DARVY__X1,5a32f1e5609847c691c07730f973397c,7rowl,2304.0,-17.0,False,,False,True,RUINED_PORTAL,BRIDGE
2690701,8,1754572421,mukvl,529c478ae270415ba12044771a99249a,7rowl,1938.0,26.0,True,329220.0,True,False,VILLAGE,TREASURE
2690701,8,1754572421,7rowl,70eb9286e3e24153a8b37c8f884f1292,mukvl,2273.0,-26.0,False,,True,True,VILLAGE,TREASURE
2690671,8,1754572030,retropog,25349f93cf194f3baeee93d024eccc21,7rowl,1977.0,-14.0,False,,False,False,VILLAGE,STABLES
2690671,8,1754572030,7rowl,70eb9286e3e24153a8b37c8f884f1292,retropog,2273.0,14.0,True,599911.0,False,True,VILLAGE,STABLES
2690585,8,1754571172,mukvl,529c478ae270415ba12044771a99249a,7rowl,1938.0,-15.0,False,,False,False,RUINED_PORTAL,TREASURE
2690585,8,1754571172,7rowl,70eb9286e3e24153a8b37c8f884f1292,mukvl,2273.0,15.0,True,459910.0,False,True,RUINED_PORTAL,TREASURE
2690542,8,1754570651,7rowl,70eb9286e3e24153a8b37c8f884f1292,Bloonskiller,2273.0,-22.0,False,,False,True,BURIED_TREASURE,BRIDGE
2690542,8,1754570651,Bloonskiller,00f996cd910f479ba0903d85c2bdb1e0,7rowl,2232.0,22.0,True,605550.0,False,False,BURIED_TREASURE,BRIDGE
2690452,8,1754569567,Watermelon1708,cc432b2626a44ae1836a50244adbf468,7rowl,2170.0,27.0,True,563074.0,False,False,DESERT_TEMPLE,HOUSING
2690452,8,1754569567,7rowl,70eb9286e3e24153a8b37c8f884f1292,Watermelon1708,2273.0,-27.0,False,,False,True,DESERT_TEMPLE,HOUSING
2690393,8,1754568896,retropog,25349f93cf194f3baeee93d024eccc21,7rowl,1977.0,-14.0,False,,False,False,BURIED_TREASURE,STABLES
2690393,8,1754568896,7rowl,70eb9286e3e24153a8b37c8f884f1292,retropog,2273.0,14.0,True,545778.0,False,True,BURIED_TREASURE,STABLES
2690292,8,1754567715,7rowl,70eb9286e3e24153a8b37c8f884f1292,DARVY__X1,2273.0,16.0,True,542280.0,False,True,VILLAGE,TREASURE
2690292,8,1754567715,DARVY__X1,5a32f1e5609847c691c07730f973397c,7rowl,2304.0,-16.0,False,,False,True,VILLAGE,TREASURE
2690206,8,1754566722,7rowl,70eb9286e3e24153a8b37c8f884f1292,Watermelon1708,2273.0,-27.0,False,,False,True,BURIED_TREASURE,TREASURE
2690206,8,1754566722,Watermelon1708,cc432b2626a44ae1836a50244adbf468,7rowl,2170.0,27.0,True,565295.0,False,False,BURIED_TREASURE,TREASURE
2690150,8,1754566093,mukvl,529c478ae270415ba12044771a99249a,7rowl,1938.0,-13.0,False,,False,False,DESERT_TEMPLE,BRIDGE
2690150,8,1754566093,7rowl,70eb9286e3e24153a8b37c8f884f1292,mukvl,2273.0,13.0,True,574178.0,False,True,DESERT_TEMPLE,BRIDGE
2668836,8,1754306589,7rowl,70eb9286e3e24153a8b37c8f884f1292,KenanKardes,2273.0,17.0,True,1056030.0,False,True,DESERT_TEMPLE,HOUSING
2668836,8,1754306589,KenanKardes,0b164a03002048d3955715422179eedf,7rowl,2110.0,-17.0,False,,False,True,DESERT_TEMPLE,HOUSING
2668775,8,1754305480,7rowl,70eb9286e3e24153a8b37c8f884f1292,TUDORULE,2273.0,19.0,True,637866.0,True,True,VILLAGE,HOUSING
2668775,8,1754305480,TUDORULE,78a8ec9f99d34371b73decd2a78ff9b0,7rowl,2274.0,-19.0,False,,True,True,VILLAGE,HOUSING
2668704,8,1754304410,KenanKardes,0b164a03002048d3955715422179eedf,7rowl,2110.0,-20.0,False,,False,True,SHIPWRECK,TREASURE
2668704,8,1754304410,7rowl,70eb9286e3e24153a8b37c8f884f1292,KenanKardes,2273.0,20.0,True,501246.0,False,True,SHIPWRECK,TREASURE
2668670,8,1754303861,7rowl,70eb9286e3e24153a8b37c8f884f1292,TUDORULE,2273.0,-20.0,False,,False,True,RUINED_PORTAL,STABLES
2668670,8,1754303861,TUDORULE,78a8ec9f99d34371b73decd2a78ff9b0,7rowl,2274.0,20.0,True,435509.0,False,True,RUINED_PORTAL,STABLES
2668635,8,1754303378,7rowl,70eb9286e3e24153a8b37c8f884f1292,Feinberg,2273.0,18.0,True,630175.0,False,True,VILLAGE,TREASURE
2668635,8,1754303378,Feinberg,9a8e24df4c8549d696a6951da84fa5c4,7rowl,2462.0,-18.0,False,,False,True,VILLAGE,TREASURE
2668545,8,1754302049,7rowl,70eb9286e3e24153a8b37c8f884f1292,tommorerow,2273.0,15.0,True,565824.0,False,True,BURIED_TREASURE,TREASURE
2668545,8,1754302049,tommorerow,0388b80ebe6c4216b4a8305c0cd27894,7rowl,1967.0,-15.0,False,,False,False,BURIED_TREASURE,TREASURE
2668492,8,1754301363,7rowl,70eb9286e3e24153a8b37c8f884f1292,KenanKardes,2273.0,-23.0,False,,True,True,SHIPWRECK,HOUSING
2668492,8,1754301363,KenanKardes,0b164a03002048d3955715422179eedf,7rowl,2110.0,23.0,True,125128.0,True,True,SHIPWRECK,HOUSING
2668451,8,1754300746,tommorerow,0388b80ebe6c4216b4a8305c0cd27894,7rowl,1967.0,-15.0,False,,False,False,VILLAGE,BRIDGE
2668451,8,1754300746,7rowl,70eb9286e3e24153a8b37c8f884f1292,tommorerow,2273.0,15.0,True,632229.0,False,True,VILLAGE,BRIDGE
2668402,8,1754299991,Feinberg,9a8e24df4c8549d696a6951da84fa5c4,7rowl,2462.0,-21.0,False,,False,True,SHIPWRECK,TREASURE
2668402,8,1754299991,7rowl,70eb9286e3e24153a8b37c8f884f1292,Feinberg,2273.0,21.0,True,678676.0,False,True,SHIPWRECK,TREASURE
2668319,8,1754298641,7rowl,70eb9286e3e24153a8b37c8f884f1292,tommorerow,2273.0,-26.0,False,,True,True,RUINED_PORTAL,TREASURE
2668319,8,1754298641,tommorerow,0388b80ebe6c4216b4a8305c0cd27894,7rowl,1967.0,26.0,True,158279.0,True,False,RUINED_PORTAL,TREASURE
2803509,8,1755734607,loodlow,9dcb17d831b24df2bae778cfd750ab1b,Aquacorde,2177.0,29.0,True,724827.0,False,False,BURIED_TREASURE,TREASURE
2803509,8,1755734607,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,loodlow,2252.0,-29.0,False,,False,True,BURIED_TREASURE,TREASURE
2749840,8,1755206223,edcr,635f35ee69ed4f0c94ff26ece4818956,Aquacorde,2600.0,-23.0,False,,False,True,SHIPWRECK,STABLES
2749840,8,1755206223,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,edcr,2252.0,23.0,True,541636.0,False,True,SHIPWRECK,STABLES
2749755,8,1755205496,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,Aquacorde,2097.0,25.0,True,489163.0,False,True,BURIED_TREASURE,STABLES
2749755,8,1755205496,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,BeefSalad,2252.0,-25.0,False,,False,True,BURIED_TREASURE,STABLES
2749694,8,1755204931,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,loodlow,2252.0,9.0,True,502253.0,False,True,DESERT_TEMPLE,BRIDGE
2749694,8,1755204931,loodlow,9dcb17d831b24df2bae778cfd750ab1b,Aquacorde,2177.0,-9.0,False,,False,False,DESERT_TEMPLE,BRIDGE
2749623,8,1755204321,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,edcr,2252.0,26.0,True,564849.0,False,True,BURIED_TREASURE,HOUSING
2749623,8,1755204321,edcr,635f35ee69ed4f0c94ff26ece4818956,Aquacorde,2600.0,-26.0,False,,False,True,BURIED_TREASURE,HOUSING
2687841,8,1754535106,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,BeefSalad,2252.0,18.0,True,460736.0,False,True,RUINED_PORTAL,STABLES
2687841,8,1754535106,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,Aquacorde,2097.0,-18.0,False,,False,True,RUINED_PORTAL,STABLES
2687758,8,1754534149,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,Unknwonc,2252.0,11.0,True,504153.0,False,True,SHIPWRECK,TREASURE
2687758,8,1754534149,Unknwonc,d10be6f072a34e069882ae04bfe60c98,Aquacorde,2132.0,-11.0,False,,False,False,SHIPWRECK,TREASURE
2687618,8,1754532582,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,BadGamer,2252.0,16.0,True,285493.0,True,True,DESERT_TEMPLE,BRIDGE
2687618,8,1754532582,BadGamer,4cf401d7b9474756b06a653867d22fca,Aquacorde,2408.0,-16.0,False,,True,False,DESERT_TEMPLE,BRIDGE
2687570,8,1754531949,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,BeefSalad,2252.0,-24.0,False,,False,True,RUINED_PORTAL,HOUSING
2687570,8,1754531949,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,Aquacorde,2097.0,24.0,True,469184.0,False,True,RUINED_PORTAL,HOUSING
2687496,8,1754530855,Aquacorde,253b53d832ab4bafb5ee0308d5164ccf,BadGamer,2252.0,17.0,True,423073.0,True,True,DESERT_TEMPLE,BRIDGE
2687496,8,1754530855,BadGamer,4cf401d7b9474756b06a653867d22fca,Aquacorde,2408.0,-17.0,False,,True,False,DESERT_TEMPLE,BRIDGE
